exchange,rank,address,depositAmountQuid,depositTransferCount,firstDepositAt,lastDepositAt,targetHotWallets,inTop100
Upbit,1,0xd62555ab18ea8fa8566eea8e117b9e3ee4212d97,3518503.959366911627603145,3,2026-08-04T13:30:47Z,2026-08-04T14:06:33Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,2,0x2172c5964e1a999da236a97f2898eff67210de5a,925974.832567377682550836,1,2026-08-04T13:48:03Z,2026-08-04T13:48:03Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,3,0x1af2517b9146c7ec25c014efeee61cf13bddf756,800550,2,2026-08-04T13:40:53Z,2026-08-04T13:48:15Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,4,0xc340579810fb4775957347552e056ddf0d65910a,752042.157526190580483354,2,2026-08-04T13:25:39Z,2026-08-04T13:25:45Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,5,0x8c795060e7a0d4304d1f565c61480fad3cf0e025,746321.375670080789262425,1,2026-08-04T13:25:39Z,2026-08-04T13:25:39Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,6,0x6dad34d67d76f453369efd06216ba85f00d117b5,741746.516453897023691817,2,2026-08-04T13:35:27Z,2026-08-04T13:51:21Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,7,0x3f9cbe896566b60d7ce228bc740dd2744ada67b5,659817.578500114462876371,1,2026-08-04T14:06:41Z,2026-08-04T14:06:41Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,8,0x83038f3182e5cef9a50e2b770bff1a4056b03376,534688.615950527273344243,2,2026-08-04T13:48:05Z,2026-08-04T13:50:55Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,9,0xb2bf0d24e21e8f36c543ba1e899c568417761a39,522705.491048356924764562,1,2026-08-04T13:51:25Z,2026-08-04T13:51:25Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,10,0x791235d39819e989a12ac4218fcdd24e48ea80f4,435519.629618447619432694,1,2026-08-04T13:48:31Z,2026-08-04T13:48:31Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,11,0x1da712b8140195ea524ce02ddb721aa6e38193bd,428846.346187488505073261,2,2026-08-04T13:48:15Z,2026-08-04T13:51:17Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,12,0x7be95e473627d0c2b13b774a5bdf125c5236be96,400000,1,2026-08-04T13:41:01Z,2026-08-04T13:41:01Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,13,0xeb87729d01deba5cb7a5abdd80e271ab402ad705,338617.373555622478473541,3,2026-08-04T13:40:47Z,2026-08-04T14:06:35Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0xee9345326f336b86c8d0529b8a1b874041f81877,true
